Timestamp,Axl.X,Axl.Y,Axl.Z,Gyr.X,Gyr.Y,Gyr.Z,Mag.X,Mag.Y,Mag.Z,Temp,Press,Range,Lum,IRLum
1745230564.2693894,30.256,-23.424,1010.16,0.56,-0.7000000000000001,0.6300000000000001,113.70944168371821,648.9330605086232,-1381.759719380298,0.0,0.0,0.0,0.0,0.0
1745230564.2693894,41.967999999999996,-33.184,1015.04,0.6300000000000001,-0.7000000000000001,0.56,114.5863782519731,646.8868751826951,-1380.590470622625,0.0,0.0,0.0,0.0,0.0
1745230564.2693894,34.16,-11.712,1015.04,0.56,-0.7000000000000001,0.56,110.49400760011692,648.3484361297866,-1382.3443437591347,0.0,0.0,0.0,0.0,0.0
1745230564.2693894,35.135999999999996,-11.712,1016.992,0.56,-0.77,0.56,114.8786904413914,644.5483776673487,-1378.2519731072784,0.0,0.0,0.0,0.0,0.0
1745230564.2693894,22.448,-23.424,1013.088,0.56,-0.77,0.49000000000000005,113.70944168371821,648.3484361297866,-1388.1905875475006,0.0,0.0,0.0,0.0,0.0
1745230564.284494,33.184,-26.352,1003.328,0.56,-0.7000000000000001,0.56,114.00175387313651,644.840689856767,-1384.682841274481,0.0,0.0,0.0,0.0,0.0
1745230564.284494,40.016,-12.687999999999999,1014.064,0.6300000000000001,-0.77,0.56,116.0479391990646,645.7176264250219,-1378.8365974861151,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.284494,20.496,-24.4,1008.208,0.56,-0.77,0.56,112.8325051154633,643.6714410990938,-1384.0982168956446,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.284494,26.352,-31.232,995.52,0.56,-0.7000000000000001,0.6300000000000001,113.1248173048816,645.1330020461853,-1381.759719380298,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.284494,28.304,-14.64,1014.064,0.56,-0.77,0.6300000000000001,116.6325635779012,649.8099970768781,-1380.0058462437883,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3154347,35.135999999999996,-19.52,1006.256,0.56,-0.77,0.6300000000000001,115.46331482022799,646.0099386144402,-1384.3905290850628,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3154347,35.135999999999996,-18.544,1005.28,0.6300000000000001,-0.7000000000000001,0.56,114.2940660625548,650.3946214557146,-1380.590470622625,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3154347,35.135999999999996,-24.4,996.496,0.6300000000000001,-0.77,0.56,110.49400760011692,649.8099970768781,-1373.5749780765857,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3154347,28.304,-25.375999999999998,1002.352,0.6300000000000001,-0.77,0.56,112.54019292604501,649.8099970768781,-1375.9134755919322,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3154347,34.16,-23.424,1011.136,0.56,-0.7000000000000001,0.7000000000000001,108.74013446360712,643.6714410990938,-1378.2519731072784,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.344671,32.208,-25.375999999999998,1019.92,0.6300000000000001,-0.77,0.6300000000000001,108.44782227418882,641.3329435837475,-1375.6211634025137,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.344671,29.28,-24.4,1009.184,0.6300000000000001,-0.77,0.56,114.00175387313651,642.5021923414206,-1374.7442268342588,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.344671,38.064,-20.496,1012.112,0.6300000000000001,-0.6300000000000001,0.6300000000000001,111.37094416837182,642.2098801520023,-1381.759719380298,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.344671,21.472,-23.424,1004.304,0.6300000000000001,-0.6300000000000001,0.56,114.00175387313651,641.3329435837475,-1377.3750365390235,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.344671,28.304,-21.472,1004.304,0.6300000000000001,-0.77,0.6300000000000001,114.5863782519731,644.840689856767,-1374.4519146448406,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3580825,30.256,-25.375999999999998,1007.232,0.6300000000000001,-0.8400000000000001,0.6300000000000001,112.24788073662671,639.5790704472377,-1377.3750365390235,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3580825,37.088,-14.64,1012.112,0.56,-0.77,0.6300000000000001,114.5863782519731,643.0868167202572,-1377.3750365390235,23.84,1005.488525390625,0.0,0.0,0.0
1745230564.3580825,32.208,-26.352,1013.088,0.6300000000000001,-0.7000000000000001,0.7000000000000001,114.5863782519731,640.4560070154926,-1373.5749780765857,23.84,1005.488525390625,0.0,0.0,0.0
