Timestamp,Gyr.X,Gyr.Y,Gyr.Z,Axl.X,Axl.Y,Axl.Z,Mag.X,Mag.Y,Mag.Z,Temp,Hum
1740564257250,6.93,10.61375,-4.725,-638.67,-656.238,425.902,191.4645,-168.9564,-338.7898,24.06223,21.21861
1740564257251,7.175,11.05125,-4.41875,-635.986,-658.678,430.05,190.0029,-171.0026,-343.4668,24.06223,21.21861
1740564257253,7.41125,11.31375,-4.41,-638.792,-659.288,436.028,191.4645,-169.5411,-345.0745,24.06223,21.21861
1740564257254,7.42875,11.89125,-4.36625,-639.524,-657.946,441.884,193.803,-163.6948,-341.7129,24.06223,21.21861
1740564257255,7.6475,12.25875,-4.27875,-640.5,-655.262,444.324,193.803,-172.7565,-345.2207,24.06223,21.21861
1740564257256,7.8575,12.425,-4.305,-650.016,-653.31,446.642,187.0798,-171.0026,-340.2514,24.06223,21.21861
1740564257258,7.9975,12.48625,-3.96375,-653.188,-661.118,454.45,195.8492,-168.0795,-350.19,24.06223,21.21861
1740564257259,8.16375,12.67875,-4.2525,-655.506,-659.044,452.132,184.1567,-175.095,-346.9745,24.06223,21.21861
1740564257260,8.18125,12.67,-3.92875,-657.092,-658.922,454.694,190.8799,-170.1257,-337.3282,24.06223,21.21861
1740564257262,8.33,12.67,-4.34,-652.7,-655.384,459.696,188.249,-166.3256,-346.0976,24.06223,21.21861
1740564257263,8.33,12.7575,-4.2,-648.064,-656.726,454.572,189.126,-166.3256,-344.9284,24.06223,21.21861
1740564257264,8.49625,12.76625,-4.515,-643.794,-658.678,453.596,186.2029,-165.4487,-339.2283,24.06223,21.21861
1740564257265,8.5225,12.8975,-4.43625,-633.79,-660.386,448.228,185.6182,-166.9102,-342.736,24.06223,21.21861
1740564257267,8.53125,12.87125,-4.59375,-629.154,-665.144,443.836,190.0029,-170.7103,-342.4437,24.06223,21.21861
1740564257268,8.61,13.09,-4.54125,-622.932,-665.51,447.374,189.126,-165.1564,-338.059,24.06223,21.21861
1740564257269,8.6625,13.265,-4.55,-625.128,-669.78,446.032,190.0029,-168.9564,-332.6512,24.06223,21.21861
1740564257270,8.86375,13.4225,-4.6725,-627.568,-669.048,445.544,192.6337,-167.2026,-344.0514,24.06223,21.21861
1740564257271,8.995,13.405,-4.61125,-630.13,-677.222,445.178,189.4183,-168.6641,-345.8053,24.06223,21.21861
1740564257273,9.03,13.23875,-4.3575,-638.792,-680.394,445.544,189.7106,-162.8179,-349.7515,24.06223,21.21861
1740564257274,9.00375,13.055,-4.2175,-641.598,-684.786,447.984,187.3721,-163.1102,-349.6053,24.06223,21.21861
1740564257275,9.0125,12.87125,-4.36625,-650.748,-682.468,454.084,191.1722,-161.9409,-341.4206,24.06223,21.21861
1740564257276,9.00375,12.67875,-4.1825,-655.384,-681.614,448.594,192.6337,-172.7565,-341.5668,24.06223,21.21861
1740564257278,9.1875,12.55625,-3.99875,-664.168,-676.246,453.23,191.7568,-164.5718,-339.959,24.06223,21.21861
1740564257279,9.205,12.3725,-4.06,-664.9,-673.684,452.864,191.4645,-171.0026,-344.3438,24.06223,21.21861
1740564257280,9.03875,12.06625,-3.9025,-668.682,-665.754,457.744,194.0953,-175.3873,-345.0745,24.06223,21.21861
1740564257282,8.9775,11.9,-3.9025,-673.074,-666.852,454.938,193.803,-173.6334,-344.0514,24.06223,21.21861
1740564257283,8.91625,11.48,-3.745,-680.272,-660.996,457.134,192.3414,-168.6641,-341.1283,24.06223,21.21861
1740564257284,8.925,11.10375,-3.87625,-674.66,-657.58,456.768,186.4952,-172.7565,-334.5513,24.06223,21.21861
1740564257285,8.91625,10.73625,-3.85,-680.394,-655.14,455.06,188.8337,-168.3718,-347.7053,24.06223,21.21861
1740564257287,8.91625,10.40375,-4.03375,-681.37,-655.75,450.058,193.5107,-170.7103,-344.7822,24.06223,21.21861
1740564257288,8.6275,10.01875,-4.095,-684.664,-647.82,446.52,187.6644,-175.6796,-333.8205,24.06223,21.21861
1740564257289,8.5925,9.84375,-4.12125,-684.542,-645.502,444.08,191.1722,-169.5411,-346.5361,24.06223,21.21861
1740564257290,8.26875,9.485,-4.025,-683.566,-650.016,443.104,190.5875,-166.3256,-335.7205,24.06223,21.21861
1740564257291,8.26875,9.21375,-4.10375,-686.738,-650.016,439.322,195.8492,-168.9564,-344.636,24.06223,21.21861
1740564257293,7.875,8.82875,-4.3225,-683.81,-650.382,439.81,196.1415,-163.6948,-343.0284,24.06223,21.21861
1740564257294,7.91,8.42625,-4.375,-680.516,-652.944,437.98,195.8492,-165.741,-331.3358,24.06223,21.21861
1740564257295,7.6125,8.19875,-4.36625,-681.736,-652.822,440.42,193.803,-161.6486,-341.5668,24.06223,21.21861
1740564257296,7.28875,7.79625,-4.43625,-677.954,-650.504,440.176,189.7106,-166.6179,-352.09,24.06223,21.21861
1740564257298,7.27125,7.62125,-4.52375,-679.54,-650.016,440.786,191.4645,-166.0333,-345.2207,24.06223,21.21861
1740564257299,6.93875,7.2625,-4.4625,-674.66,-648.186,440.786,191.7568,-168.9564,-341.2745,24.06223,21.21861
1740564257300,6.74625,6.99125,-4.62,-672.22,-647.454,438.346,188.8337,-164.5718,-336.7436,24.06223,21.21861
1740564257302,6.3875,6.685,-4.55875,-663.07,-644.892,435.174,193.803,-168.0795,-340.6898,24.06223,21.21861
1740564257303,6.20375,6.55375,-4.62,-663.68,-646.844,433.344,195.8492,-171.8796,-342.1514,24.06223,21.21861
1740564257304,5.915,6.195,-4.725,-657.092,-650.26,432.124,192.3414,-178.0181,-346.2438,24.06223,21.21861
1740564257305,5.59125,6.06375,-4.64625,-654.164,-649.772,430.66,189.4183,-173.6334,-343.613,24.06223,21.21861
1740564257307,5.495,5.90625,-4.66375,-652.578,-650.626,435.174,189.4183,-171.0026,-344.0514,24.06223,21.21861
1740564257308,5.285,5.76625,-4.52375,-650.504,-651.114,428.464,192.0491,-178.8951,-345.8053,24.06223,21.21861
