mean_accel_X,sd_accel_X,mad_accel_X,max_accel_X,min_accel_X,energy_accel_X,entropy_accel_X,iqr_accel_X,kurtosis_accel_X,skewness_accel_X,correlation_accel_X,mean_accel_Y,sd_accel_Y,mad_accel_Y,max_accel_Y,min_accel_Y,energy_accel_Y,entropy_accel_Y,iqr_accel_Y,kurtosis_accel_Y,skewness_accel_Y,correlation_accel_Y,mean_accel_Z,sd_accel_Z,mad_accel_Z,max_accel_Z,min_accel_Z,energy_accel_Z,entropy_accel_Z,iqr_accel_Z,kurtosis_accel_Z,skewness_accel_Z,correlation_accel_Z,psd_mean_accel_X,psd_max_accel_X,psd_min_accel_X,psd_max(Hz)__accel_X,psd_mean_accel_Y,psd_max_accel_Y,psd_min_accel_Y,psd_max(Hz)__accel_Y,psd_mean_accel_Z,psd_max_accel_Z,psd_min_accel_Z,psd_max(Hz)__accel_Z,mean_gyro_X,sd_gyro_X,mad_gyro_X,max_gyro_X,min_gyro_X,energy_gyro_X,entropy_gyro_X,iqr_gyro_X,kurtosis_gyro_X,skewness_gyro_X,correlation_gyro_X,mean_gyro_Y,sd_gyro_Y,mad_gyro_Y,max_gyro_Y,min_gyro_Y,energy_gyro_Y,entropy_gyro_Y,iqr_gyro_Y,kurtosis_gyro_Y,skewness_gyro_Y,correlation_gyro_Y,mean_gyro_Z,sd_gyro_Z,mad_gyro_Z,max_gyro_Z,min_gyro_Z,energy_gyro_Z,entropy_gyro_Z,iqr_gyro_Z,kurtosis_gyro_Z,skewness_gyro_Z,correlation_gyro_Z,psd_mean_gyro_X,psd_max_gyro_X,psd_min_gyro_X,psd_max(Hz)__gyro_X,psd_mean_gyro_Y,psd_max_gyro_Y,psd_min_gyro_Y,psd_max(Hz)__gyro_Y,psd_mean_gyro_Z,psd_max_gyro_Z,psd_min_gyro_Z,psd_max(Hz)__gyro_Z,mean_mag_X,sd_mag_X,mad_mag_X,max_mag_X,min_mag_X,energy_mag_X,entropy_mag_X,iqr_mag_X,kurtosis_mag_X,skewness_mag_X,correlation_mag_X,mean_mag_Y,sd_mag_Y,mad_mag_Y,max_mag_Y,min_mag_Y,energy_mag_Y,entropy_mag_Y,iqr_mag_Y,kurtosis_mag_Y,skewness_mag_Y,correlation_mag_Y,mean_mag_Z,sd_mag_Z,mad_mag_Z,max_mag_Z,min_mag_Z,energy_mag_Z,entropy_mag_Z,iqr_mag_Z,kurtosis_mag_Z,skewness_mag_Z,correlation_mag_Z,psd_mean_mag_X,psd_max_mag_X,psd_min_mag_X,psd_max(Hz)__mag_X,psd_mean_mag_Y,psd_max_mag_Y,psd_min_mag_Y,psd_max(Hz)__mag_Y,psd_mean_mag_Z,psd_max_mag_Z,psd_min_mag_Z,psd_max(Hz)__mag_Z,mean_temp,sd_temp,mad_temp,max_temp,min_temp,energy_temp,entropy_temp,iqr_temp,kurtosis_temp,skewness_temp,correlation_temp
-713.3138496666667,111.01515045159324,99.66333719999997,-91.5,-1488.034,6253679816.709208,7.927567417158714,135.81650000000002,2.911191816322038,0.13011868805582216,0.8242642105265808,-661.7726418333333,204.62982360960387,207.01395540000001,69.052,-1124.84,5757754856.910092,8.370565507233534,282.674,-0.06997375297718023,0.5313568431942397,0.7706161860191946,142.973142,323.39313440529963,360.94045259999996,925.126,-620.37,1500188681.446656,8.697546850660665,490.501,-0.7762893852123329,0.014979288224815129,0.7382853156242796,1.8556656115017995,27.305994419798154,0.048726105881357104,137.5,2.4964357969253492,55.51355376801282,0.03744985261337016,137.5,3.8754754318033635,90.04225389441848,0.025920026057560067,137.5,-3.1801845833333324,15.703255084226072,8.750119875,93.00375,-74.41875,3080222.938471875,8.178737639916717,11.9,7.590832204215493,-0.24054989901097593,0.9753043999007045,0.5318965166666665,21.573419118394877,10.80630075,123.6113,-98.91875,5587878.503935955,8.376477874061878,14.6759375,7.146267776777851,1.3262763455396984,0.9954259347387061,-1.7572858333333334,11.276124791107394,7.277712749999999,37.555,-76.545,1562741.374665625,7.970721241209289,9.94875,10.612496815409026,-2.3135278448452463,0.9454076741476946,0.08245546745534738,1.2185713715547228,0.004987379642938884,137.5,0.10818588027148186,0.7538105111301958,0.01472615053812436,10.9375,0.0787222227218442,1.5858511586868036,0.006375343996994323,137.5,41.56540294356667,26.838348309898432,24.269391048000003,120.1403,-43.84682,29375035.645433858,5.814041676022227,39.754459999999995,-0.3822324702974025,0.25536771113953083,0.9362897760388598,41.729926463249996,90.1344243411616,21.235694927999994,124.525,-256.6501,118379090.35283875,5.973966303054107,70.44724,2.2201336074855105,-1.8152175980243936,0.9950512250491619,-278.2094171833333,133.19049705398152,45.07178129999999,-98.5092,-582.2858,1141664520.0712147,7.124174669254456,216.8956,-0.6674445849479405,-0.9271621749919066,0.996048237122926,0.2865196650595886,0.8244430032239667,0.0073403547200425944,363.28125,0.2673908906083756,0.7850690062214568,0.0030828933696988984,388.28125,0.37952057148841933,1.355303788334499,0.00801888470434004,363.28125,23.31744423583333,0.05992384552667343,0.019792710000003908,24.40398,23.26656,6524481.555110651,3.152069728347907,0.032039999999998514,276.3336094554208,15.359362177150722,0.984607427860869
-751.7238213333334,89.26611180937893,83.203512,-410.53,-1037.976,6876677738.891928,7.791681320399899,113.70400000000006,0.40592718606801315,0.5098282175875782,0.7473048918207816,-677.1510671666666,122.17394879410456,123.3582504,-311.71,-1173.152,5681505571.873036,8.062874561259333,166.43849999999998,0.1931015844006838,-0.1390418736964417,0.667441889876623,70.0454155,333.5072643029243,404.5318578,880.84,-668.804,1393490239.809316,8.725867804670584,545.0045,-0.909336556604412,0.12070413629209788,0.5666726320488376,1.2583607649491984,24.601597922519566,0.031160025628613582,135.9375,1.4577722794701842,37.90599295551393,0.05211001444521913,135.15625,3.9842983804269223,122.13940659542628,0.024816491575898027,132.03125,-0.6662578125,10.903620546400804,10.49495475,26.285,-44.7825,1431875.1969703124,8.205247298527599,14.142187499999999,0.9661588601740445,-0.6610244362808804,0.8675725636626404,-1.0139485416666663,11.696269921969467,11.74033875,40.915,-41.615,1653833.0580625,8.272263261798573,15.8309375,0.09884458104076366,0.20564212496850726,0.9501247468689115,0.28516177083333333,7.151682238015801,7.5501405,21.9975,-22.6625,614683.3662703125,7.9015992019411865,10.1521875,-0.3581178683507851,-0.0818910538271497,0.8072189513385518,0.10797723933062818,2.330169104714776,0.003802774130125712,132.03125,0.11805546874975588,1.3989497136150486,0.004320432054088113,132.03125,0.07996634140339395,1.5601975069617406,0.0041882839483814585,129.6875,28.69168227808333,23.653739935476672,18.635436918000003,87.69365,-41.50833,16591985.039166806,5.612544439621071,26.015790000000003,0.1504015649299295,-0.9259208570355283,0.8529599708915795,79.07943218833333,12.977507949460113,13.43483194200001,118.0941,37.70827,77063499.27797754,5.193811027605323,17.831030000000013,-0.17751878922957065,-0.1671087110050248,0.5364748857583417,-198.073446225,32.74298477058826,29.036572740000004,-131.8328,-289.389,483661245.7105676,6.633722065984943,42.86025000000001,-0.45008070360969077,-0.6809804454097375,0.9456487596542348,0.3384144837790762,1.2989977099373422,0.0022696598743928383,392.1875,0.31948056625967625,1.3052172324591236,0.0018912741980452784,385.9375,0.34972061840695545,0.8028008731947004,0.005361004699015578,393.75,23.375731003333335,0.017358222124292038,0.01583416800000102,23.41341,23.33331,6557101.214675587,2.9951624074657706,0.021360000000001378,-0.3686334534890672,-0.0874886646206595,0.9976390324223139
-757.7954360000001,182.26768763747904,143.79737400000002,80.886,-1829.146,7289671971.839768,8.259585532458962,194.98649999999998,3.5868490294980484,-0.5348641129558315,0.6009474246272617,-645.1868028333333,193.29654312804257,187.5696564,13.298,-1485.472,5443517406.073012,8.385801488096618,256.078,0.25787632974941044,0.14366808843327136,0.6047473903662114,182.07690733325,301.634542427765,328.65387239999995,1022.848,-610.732,1489533785.038591,8.661150165816535,453.962,-0.769407320978559,-0.3324672306657101,0.5648277171400062,2.870927377101342,68.291694565593,0.02278271271230188,135.15625,3.0092181417422807,71.6772091144391,0.057386356686934016,135.15625,4.4578244272300065,109.21191664662074,0.022780478636029593,135.15625,-0.5135302083333331,15.267869567591411,8.3803965,52.22875,-81.795,2800225.545053125,8.17708161293881,11.2984375,7.726370546360291,-1.874373920901201,0.9692157609821043,-1.606670625,18.922810828887428,12.583567500000001,64.435,-94.2025,4327491.8491875,8.43371515909263,16.979374999999997,2.323608077525739,-0.7661367477852953,0.9711855368703163,0.6288442708333333,8.757310119565581,7.627976999999999,43.07625,-29.54875,924954.4172859375,7.978304539888926,10.28125,2.1583966118179267,0.8183234061219913,0.8433098015641295,0.08238211711082227,1.302675710719967,0.004310325894752402,131.25,0.13190401049810543,1.6148882008550123,0.005398655489938289,135.15625,0.09356241997139315,1.636379403912328,0.0026988473027612972,135.15625,41.027840897800004,30.573281032983086,23.835997415999998,136.5098,-30.10815,31415176.176770322,5.921911498772323,33.031270000000006,0.5063378916431036,0.8404300285287877,0.9453872821523418,82.64374083333334,22.990733799301452,27.303072341999997,136.8021,22.80035,88302212.30084948,5.7114223621847255,37.41592,-0.9163096202286969,0.015694444694616134,0.8956284975315524,-187.95581473666667,45.67882968876177,57.85653761999998,-86.67056,-295.9661,448965238.74522704,6.988175299684572,78.632,-1.1309914232973315,-0.08947798396100697,0.9724840642085284,0.2969987437880003,0.994869572169554,0.003024276038318581,396.09375,0.2983220190187217,0.9287328085936414,0.0027074185151431934,394.53125,0.3509347777980289,0.6687038582485872,0.008361904773376522,395.3125,23.431748004166668,0.019002722243914843,0.02375125200000153,23.48016,23.39472,6588566.107249551,3.0543990298360155,0.032039999999998514,-0.7603459499501364,-0.04556024816555592,0.998039781061444
-752.0137441666667,145.2013934209764,140.54158439999998,53.802,-1319.552,7039276309.358892,8.17858603809375,189.61850000000004,1.154892666139661,0.36556307118838116,0.6775495665931481,-640.9066463333334,188.0818794373361,204.21035880000008,-63.196,-1191.208,5353598097.44968,8.391778216537439,276.9705000000001,-0.44251686176534877,0.014568444737874846,0.7076012829397701,215.29934749991665,243.70270884328957,283.0728179999999,904.02,-396.866,1268878440.967067,8.560484326307696,381.7685,-0.7837715994235896,0.007946046184677338,0.598043779613189,2.4341308281158884,42.889952523930994,0.03626155506986033,132.8125,2.6196305408104297,47.89417770050487,0.1044740280206081,135.9375,3.5052283121816648,78.29985919977412,0.029888374273010245,135.9375,1.818845729166667,8.782146368880603,5.798819249999999,54.11875,-22.155,965134.4094765625,7.853679473842695,7.813750000000001,6.735062258703035,1.9033389319430412,0.9542637150668501,1.8188945833333336,18.43864129238424,16.533769875,81.97875,-59.4475,4119162.45908125,8.527342356802643,22.489687500000002,1.1857844218415003,0.432618221836848,0.9708528771946592,-0.5217522916666665,8.491530149599038,8.159859749999999,29.88125,-34.48375,868467.610740625,8.019591450198316,11.033750000000001,0.23834251757330494,-0.264099718812281,0.8637691939111211,0.07053662244695745,1.1267336461311874,0.0042872462191007816,135.15625,0.13741235717270228,1.7762569635130148,0.007115258683119862,135.15625,0.08859489633689267,1.6062770556262036,0.004935611907249865,135.9375,5.685666686116667,30.797154169753718,31.636882641,87.98596,-79.50891,11768549.662749393,5.99688539617548,43.55450999999999,-0.4689051346076316,0.1821104460131906,0.9409600695313416,72.84823791916666,21.222324124275882,14.73499801200001,139.4329,30.10815,69086583.32291877,5.476670401361927,24.554209999999998,0.2571805715384472,1.0255632971464972,0.8870907150595815,-207.34440663333334,37.55920997337327,36.837420900000026,-91.78603,-291.1429,532827355.89718246,6.86631335115236,49.9854,-0.11821909149468768,0.4954754854328004,0.960286947994173,0.32242240709208947,0.8328692547506787,0.0052457775106069405,371.09375,0.28507338982007846,0.8688741772150295,0.003978725141187948,371.09375,0.3543245025684345,0.600897854086055,0.010508849856027876,380.46875,23.47550205,0.015645865818929038,0.01979270999999864,23.50686,23.43477,6613193.295267264,2.7574957112807184,0.026700000000001722,-0.5738428629332608,-0.22885011395930066,0.9973316058711768
-760.8454461666669,143.58882056027468,96.22667039999999,388.204,-1961.15,7194021890.359948,7.988615848638133,135.41999999999996,7.563304343531593,0.42491261297135235,0.9161696228346373,-587.1494000000833,209.94724646297647,120.19289940000002,121.146,-981.612,4665823092.767826,8.166202777559125,162.62599999999998,2.0677288782056866,1.466488170833083,0.9116552751014183,170.05228233325,286.5887404848602,321.05703,1108.492,-579.866,1332528485.6871784,8.585468895503212,447.374,-0.6564789058642986,-0.06493477650665362,0.7634446210843469,1.9664583226177537,26.113035259466823,0.045656151996265576,137.5,1.6761384895005094,35.57286604098003,0.036141401057444164,137.5,3.031053487116024,87.6402112514736,0.046775021799634435,136.71875,-1.9923370833333331,17.751282959561642,7.400953875,69.67625,-71.33875,3828614.337121875,8.104235954644059,9.7584375,5.533533928041077,-0.15149150047257243,0.983454733518829,0.9961854083333325,29.327963778961347,12.421408125000001,157.6662,-96.2325,10332602.00799472,8.4313590361615,16.7146875,6.668097694122814,1.2311220584355993,0.9971847937440237,-1.6834073958333335,11.10370300991432,5.552337,29.98625,-73.85,1513389.6796921876,7.890187211330785,7.525,7.1847672973430345,-1.8401825565202872,0.9679984447028405,0.07336869642464675,1.1790780127915708,0.00624730402295434,136.71875,0.13013684139531076,1.5845885705160574,0.0118851919002784,12.5,0.07159943973528815,0.9367319020059882,0.0036667893848478625,136.71875,72.06430507179999,53.44438132523422,25.569542292,260.7425,-14.03098,96591935.2267268,5.929670378369418,42.67758,4.329313641156036,2.1810810637894527,0.9850694678244423,31.8620520196,107.54479206456054,34.670497217999994,136.2175,-293.7737,150961306.02701092,6.133298160370942,128.61736000000002,1.4902152150111938,-1.4943273695084995,0.9967496649743816,-301.8735103083334,120.55504162136211,85.3762623,-112.9787,-531.7158,1267919077.9163852,7.331911695142625,247.88070000000002,-1.421242383527221,-0.5293763599108924,0.9946820443119225,0.27928754149809015,0.904193468489027,0.006294100065691805,384.375,0.25725624701101263,0.8116377472401259,0.0033572218618187137,366.40625,0.3834244113942222,1.8542127442065752,0.0056632940422099,385.15625,23.58305890666667,0.021482955896573407,0.023736425999996823,23.62701,23.5122,6673933.546490931,3.1382491490419,0.029359999999996944,-0.27645245785786043,-0.40991243801156396,0.998378708500354
-709.8057193333333,128.53371404207152,108.16456560000002,200.324,-966.24,6244124377.209472,8.011815070392455,150.8225,1.9609697170105767,1.1383905467862487,0.8545389963144466,-659.7230113333334,148.45886425010266,141.8981633999999,-163.602,-1198.894,5487271792.651448,8.20550948420222,191.784,0.22455517151992188,-0.24789903322267026,0.6033130462414327,262.7068293330833,270.1325754259002,280.4500986,1494.256,-504.592,1703764866.2053509,8.617923294654037,377.46799999999996,-0.30882615949751946,0.11969851998722855,0.6070942802041543,1.328583518383753,35.66008175910798,0.027116762419971387,139.0625,1.7795737347155343,66.52581458783843,0.03872236280321611,139.0625,3.1005848617993332,121.13779215203908,0.025361503794656633,139.0625,0.044436145833333364,8.231840762816859,8.328505499999999,30.98375,-29.70625,813114.3597828125,8.022226883904294,11.252500000000001,8.258251505832703e-05,-0.11491107241272254,0.9188028199213725,-0.7568852083333332,20.286636123097228,20.7564,55.23875,-45.22875,4945034.217309375,8.611076420422975,28.2078125,-0.43305278244551637,0.4268979686615058,0.992380714980936,-0.2820022916666666,7.072568916347914,6.18800175,29.19,-32.4975,601159.055196875,7.8276011729627175,8.4021875,1.336518165534625,-0.3168623183076295,0.8525019611173922,0.06429457229721794,1.4330794978612391,0.004157291096076366,139.0625,0.08257599233298024,0.9968722068175424,0.005184593852750524,139.0625,0.06213441725914834,1.7570368413842725,0.003518450853929768,139.0625,-9.119019296533331,46.72072293855684,42.9048235182,60.21631,-131.2482,27189606.752031364,6.2053300168632495,71.32417000000001,-0.622701593358177,-0.749830226088184,0.9732611774122503,100.90516449416666,16.133386112202327,14.735027663999988,149.9561,60.50862,125305400.14233539,5.3377208992082785,21.63109,-0.39237908573997693,0.5592219478095177,0.7764716419489209,-271.4012314583333,33.195853878653786,26.219632739999955,-170.418,-337.3282,897126015.8572783,6.627873712514313,37.56209999999999,0.022817078738607943,0.8735731856645825,0.948412314937383,0.313305264069175,0.9789259056748677,0.0032890006710084934,341.40625,0.2889517359838399,1.0867561058969126,0.002409078617281936,353.90625,0.3430428019975455,0.8157525470062017,0.00452505922913398,353.90625,23.63303601,0.018907458176015725,0.01979270999999864,23.6724,23.57895,6702248.982145685,3.111407732907783,0.029370000000000118,-0.2571921193766702,0.017217993275871812,0.9975330903868085
-729.7816638333334,113.88509837591279,112.68649559999996,-267.302,-1055.422,6546600140.177644,7.981775411102128,161.40599999999995,-0.07025087945403996,0.5147756747158001,0.8150823193301294,-641.4307786666667,151.81847384200313,157.7249184,-133.102,-1154.852,5213764464.998696,8.236578549601363,212.21899999999994,-0.18141702838299167,0.004452200668355352,0.6658975366902159,220.15375799983332,271.0708619581998,302.96930999999995,908.9,-390.156,1463291592.9583247,8.616752749708601,419.68,-0.8508465250293846,0.17283988208368276,0.7559334434466782,1.485482846526167,22.44869758035164,0.03847236235461182,139.84375,2.022040285033048,40.1809257960138,0.06782394151402851,142.96875,2.641923043853026,63.21211107319845,0.031660762043253216,142.96875,-0.42380989583333334,12.92859263934625,9.943612875,36.40875,-45.01,2007770.3210359374,8.239890562832002,13.4334375,1.2590141567123867,-0.9173385246075042,0.9522719055230626,-0.8870246875000003,17.780567839877794,17.960772374999998,51.68625,-56.7,3802908.7174640624,8.530098328406611,24.0275,0.11187902267834149,-0.21778841177324232,0.9902483552800556,1.5069986458333333,9.732383775091563,8.497151249999998,39.6725,-37.54625,1163789.3470765625,8.081603447466623,11.48875,1.2525294300097567,0.42365163466232225,0.9141722587859522,0.07967502382232541,1.6099726246498383,0.004126436648703464,137.5,0.0956798386003502,0.6604517355727836,0.006712826253531622,137.5,0.07499626169310544,1.4589419998171935,0.00497146004669085,142.96875,24.452546798066663,35.387615671755,44.204964384,94.70914,-70.73955,22201272.370778836,6.078037491051126,61.093249,-0.9555165354894806,-0.2696639755635416,0.9555363717294557,111.10695592333332,21.490094307991402,26.002921098,164.2794,60.21631,153678495.87083745,5.6379684135626675,35.369820000000004,-0.9610999896812507,0.16105951901258506,0.8779942808987711,-220.4336949416667,37.272597805509314,37.92090497999997,-146.3022,-327.5358,599761735.7071371,6.804504420952996,55.247000000000014,-0.35411519429687255,-0.6349811261544128,0.9590767077303314,0.29990153456580243,1.0044302348763008,0.004103550465718105,360.15625,0.2916084268991654,0.9628321188579098,0.0019638064530969235,360.15625,0.34142931989665104,0.7515449692495806,0.006747671439388842,357.03125,23.679192257500002,0.01580991597170208,0.01979270999999864,23.71779,23.64303,6728452.750803138,2.854999774694385,0.024029999999999774,-0.6351569278389029,-0.02987244684456324,0.9980639615386605
-812.8494000000001,88.58787372212342,91.34298600000001,-533.018,-1079.212,8022855653.600232,7.82408496412301,123.37249999999995,-0.262488494406369,-0.045836707363678515,0.6308325131238504,-584.8691386666667,137.1634332017955,154.55956740000002,-205.204,-1162.172,4330609787.461296,8.16105138991968,208.25400000000008,-0.3998050652834908,-0.08717362866925911,0.6226593459337273,156.284033333,233.3081875123014,274.93334400000003,744.322,-346.602,946234480.5109051,8.519516257493638,374.57050000000004,-0.8872830148180326,0.24210304454922216,0.5856757656542315,1.3164389833504606,36.70893543339985,0.025673407197266504,132.8125,1.797307502788218,54.85793085463395,0.05689241661702323,132.8125,2.8303432106791395,95.7205891689878,0.025395177148260888,132.8125,0.47802343749999987,7.354624788703694,7.07014875,18.06,-34.02,651774.0557671875,7.8886659567829005,9.5375,1.1015671094003778,-0.7274908524029787,0.8267868172785554,2.029804583333333,12.709702103939367,11.01386475,44.89625,-51.5725,1987718.07408125,8.27737664999995,14.962499999999999,0.9901851881379282,-0.3313950574534888,0.98145989193064,-0.09746697916666663,6.467497048062042,5.85071025,32.41875,-25.13875,502014.3860265625,7.744815453168777,7.8925,2.2466313462550236,0.1471593330451114,0.8598925559583557,0.08966451345309853,1.7337764154719837,0.004198690763283212,133.59375,0.09465529793206928,0.7039709281480125,0.005013019591027617,133.59375,0.07029376665209362,1.2737382445380419,0.0033755358041912763,132.8125,44.36677653024999,17.68481616645918,16.035134430000003,101.14,-24.84653,27373650.237596337,5.480400305774909,21.92342,0.6509017630649003,-0.4561705101642167,0.809671929464935,83.03168757166667,12.999432931088585,11.701316718000006,137.9713,43.84682,84758787.78508829,5.164881470365688,15.784860000000009,0.9798046779543856,0.5562830093215005,0.6394980124355958,-230.17821348333337,26.613842531430873,27.08636069999999,-158.1409,-323.7357,644282970.623387,6.5246239634123855,36.42945,0.055728769848998105,-0.5831182898409099,0.9154229218232185,0.31759495889577527,0.9938111643674072,0.0035707265000420856,375.78125,0.3022251027330412,1.0382302898790796,0.0025385817250855136,375.0,0.35141057273287934,0.760471028054932,0.007011741683757765,375.78125,23.714504074166666,0.014441132180951803,0.015819342000001582,23.76585,23.67507,6748534.944151047,2.860384394050771,0.024029999999999774,0.7614775101997844,0.4615250908632121,0.9961656124213022
-401.6998331665833,268.91959807249316,306.8581698,443.47,-2318.854,2804093756.5721583,8.597973581816909,414.83050000000003,0.30775011839963407,-0.2818179908007872,0.8437363332063846,-816.9263756666668,275.33670120964916,253.77071160000006,526.796,-2507.466,8918072217.215616,8.60242977126767,341.2645,0.18471804311504236,-0.05628335648911924,0.7067151910298666,188.86443833316667,392.69849341267303,172.28553299999993,801.906,-1171.444,2278428381.4391007,8.40910620156941,233.1725,3.067259245641802,-1.890821048742864,0.9677692835185239,5.134694296636582,84.87371928696702,0.053693961642271464,87.5,5.920540835170214,80.56549030952597,0.09362033913488037,100.0,3.2909454533338574,41.70453306240038,0.0898805126338772,100.0,2.4115511166666663,21.052829657878483,6.564211499999999,162.1113,-86.8,5388003.363066725,8.062904528757713,8.8834375,13.681664791982566,2.095016942965735,0.990055733545563,7.105715141666668,61.13704048347631,7.303658249999999,286.685,-281.0587,45455009.14331371,8.132725996043408,9.8196875,10.073404217758009,1.6576236379261717,0.9992142226121477,-3.4359165125000013,18.594249611280294,6.52529325,75.075,-118.7813,4290273.944531002,8.010026555749528,8.9446875,12.666262345656419,-1.9225941608433217,0.9930018049352975,0.1000043579336576,0.7693779733899965,0.00974158103653533,100.0,0.12019134998840565,1.3393180719310511,0.010664695466306773,11.71875,0.08716197844203417,0.8250057849597876,0.010278694357486544,100.0,-71.89624983803333,89.14315435425758,43.771585577999986,456.8839,-570.5934,157378926.00603056,6.744755415446639,59.04702,2.631302417743231,0.498360007851318,0.9775608731196774,7.682962597550001,60.94642930142235,30.336737327399998,674.0719,-686.6413,45278227.4391789,6.2424916207931425,52.32388,20.16858777555376,0.021194280728851298,0.9100911454357097,-191.10279874960833,152.15181527125284,46.046813190000016,477.1996,-950.0146,716022304.7883587,7.352841654299127,61.23940000000002,2.446919836187887,1.1053269234179819,0.981744515357481,0.5818084285777092,29.297500150971302,0.015097670735558165,50.0,0.7675182541919143,32.809462615426455,0.007598438790421016,50.0,0.8787664632442643,36.02455460001518,0.014730148655241467,50.0,24.893521562500002,0.057918271793400485,0.011875625999998132,25.58412,24.86055,7436289.240351793,2.679428972354389,0.013349999999999085,133.46845393652302,11.434377790672782,0.9938368705459352
-395.9000243333333,321.76916797918307,383.3692254,577.426,-1452.776,3123163185.352334,8.709632944840909,525.759,-0.7981063768792764,-0.11374550464070245,0.7299586361452017,-899.2042635,251.0189660790658,262.09106280000003,-108.336,-1701.9,10458882935.414436,8.572433072375265,353.73900000000003,-0.3575535469437461,-0.011711131378735046,0.4988178639512406,277.76827833333334,146.52952941188,147.77667240000002,911.706,-330.62,1183491962.352184,8.20239828272057,199.348,0.037618742180366205,0.13615067646026674,0.44319653646402773,6.193000112703799,140.86262389924198,0.014393945546066489,85.9375,6.981078937442703,106.67324993072555,0.03410237584584171,100.0,4.180999245802307,61.66253461053543,0.024693053549388548,100.0,0.3642384375,3.8885255532738205,3.8658794999999997,15.5575,-20.97375,183024.4867828125,7.373141670853041,5.215,0.7978043129181223,-0.2664481837663699,0.6459523259411657,0.0869852083333333,5.305839021217124,4.644244499999999,30.30125,-19.215,337885.77781875,7.551903078940481,6.29125,3.8528590701760974,0.8656317587529789,0.8488214629793237,0.13939770833333334,4.83107353013964,4.9555905000000005,19.705,-22.19875,280281.098825,7.538772847197257,6.6696875,0.028498466487366425,-0.07144411524059148,0.7330299577435981,0.09205766763145007,1.0032005116099205,0.0015064635236872574,100.0,0.08910830529352598,1.397883947899959,0.004862104949363484,85.9375,0.10479288251838612,1.6000116812164016,0.0022914369243920685,85.15625,-89.90114503276666,33.62463869862968,31.203511248,6.430868,-176.8489,110552855.85346356,6.098987965629033,42.09294,-0.3705646871289048,0.004518615511940164,0.8629125329356685,25.103136265649997,33.330577357687936,19.068815724000007,121.6019,-72.49342,20892027.121036347,5.969359410277549,25.723480000000002,0.48759022989453316,-0.04389498941707297,0.774664632477078,-216.910846175,39.910833885787625,24.702784679999997,-99.5323,-330.7512,583716685.3230999,6.83066254680431,33.03129999999999,0.47521290946852,-0.02529513192079373,0.7752733685249465,0.36011810706986747,29.257740280322366,0.0015954489837826918,50.0,0.4105566985259828,26.416307332021297,0.0013267024587226112,50.0,0.5414135380822099,31.649164546536124,0.002645658731661519,50.0,24.899922195833327,0.010710930237637506,0.011875626000003399,24.91929,24.87657,7440074.880876237,2.544457904962268,0.013350000000002638,-0.7160171591763116,-0.07479143968874198,0.9936736843713706
