mean_accel_X,sd_accel_X,mad_accel_X,max_accel_X,min_accel_X,energy_accel_X,entropy_accel_X,iqr_accel_X,kurtosis_accel_X,skewness_accel_X,mean_accel_Y,sd_accel_Y,mad_accel_Y,max_accel_Y,min_accel_Y,energy_accel_Y,entropy_accel_Y,iqr_accel_Y,kurtosis_accel_Y,skewness_accel_Y,mean_accel_Z,sd_accel_Z,mad_accel_Z,max_accel_Z,min_accel_Z,energy_accel_Z,entropy_accel_Z,iqr_accel_Z,kurtosis_accel_Z,skewness_accel_Z,psd_mean_accel_X,psd_max_accel_X,psd_min_accel_X,psd_max(Hz)__accel_X,psd_mean_accel_Y,psd_max_accel_Y,psd_min_accel_Y,psd_max(Hz)__accel_Y,psd_mean_accel_Z,psd_max_accel_Z,psd_min_accel_Z,psd_max(Hz)__accel_Z,mean_gyro_X,sd_gyro_X,mad_gyro_X,max_gyro_X,min_gyro_X,energy_gyro_X,entropy_gyro_X,iqr_gyro_X,kurtosis_gyro_X,skewness_gyro_X,mean_gyro_Y,sd_gyro_Y,mad_gyro_Y,max_gyro_Y,min_gyro_Y,energy_gyro_Y,entropy_gyro_Y,iqr_gyro_Y,kurtosis_gyro_Y,skewness_gyro_Y,mean_gyro_Z,sd_gyro_Z,mad_gyro_Z,max_gyro_Z,min_gyro_Z,energy_gyro_Z,entropy_gyro_Z,iqr_gyro_Z,kurtosis_gyro_Z,skewness_gyro_Z,psd_mean_gyro_X,psd_max_gyro_X,psd_min_gyro_X,psd_max(Hz)__gyro_X,psd_mean_gyro_Y,psd_max_gyro_Y,psd_min_gyro_Y,psd_max(Hz)__gyro_Y,psd_mean_gyro_Z,psd_max_gyro_Z,psd_min_gyro_Z,psd_max(Hz)__gyro_Z,mean_mag_X,sd_mag_X,mad_mag_X,max_mag_X,min_mag_X,energy_mag_X,entropy_mag_X,iqr_mag_X,kurtosis_mag_X,skewness_mag_X,mean_mag_Y,sd_mag_Y,mad_mag_Y,max_mag_Y,min_mag_Y,energy_mag_Y,entropy_mag_Y,iqr_mag_Y,kurtosis_mag_Y,skewness_mag_Y,mean_mag_Z,sd_mag_Z,mad_mag_Z,max_mag_Z,min_mag_Z,energy_mag_Z,entropy_mag_Z,iqr_mag_Z,kurtosis_mag_Z,skewness_mag_Z,psd_mean_mag_X,psd_max_mag_X,psd_min_mag_X,psd_max(Hz)__mag_X,psd_mean_mag_Y,psd_max_mag_Y,psd_min_mag_Y,psd_max(Hz)__mag_Y,psd_mean_mag_Z,psd_max_mag_Z,psd_min_mag_Z,psd_max(Hz)__mag_Z,mean_temp,sd_temp,mad_temp,max_temp,min_temp,energy_temp,entropy_temp,iqr_temp,kurtosis_temp,skewness_temp,psd_mean_temp,psd_max_temp,psd_min_temp,psd_max(Hz)__temp
-769.4101105,97.53826452,92.1569334,-282.796,-1027.972,4812035536,7.747334674,124.928,1.994436867,0.797894572,-649.9623658,129.7625625,129.1463208,-163.602,-1145.58,3514298358,7.996408526,174.7345,0.177636705,-0.001625756,111.0527417,289.7203764,366.1858914,917.562,-579.866,770080925.6,8.435925502,495.1065,-0.971531071,0.042733695,1.472604129,37.39906497,0.185117758,136.71875,1.893558691,52.70333776,0.204544047,136.71875,3.323051944,135.3327361,0.265483968,136.71875,0.211667969,5.996202017,6.2528655,15.5925,-19.3025,287957.9813,7.688738567,8.4371875,-0.186365877,-0.181235543,-4.144530469,11.40187458,11.87655262,20.4225,-43.9775,1177309.011,8.067262476,15.9884375,0.086289671,-0.652726047,-0.140756875,5.318125882,5.156668125,15.855,-17.8675,226389.9207,7.563239884,7.0196875,0.175885617,-0.386262095,0.101112969,2.342364345,0.02516495,0.78125,0.140225997,4.921155759,0.037317663,0.78125,0.080745323,2.113732191,0.014011395,0.78125,31.76377373,27.82199817,13.43484677,79.80122,-90.90909,14263233.16,5.496759324,18.41566,4.848443715,-2.118162549,99.11293808,11.81186203,12.13463622,143.233,65.18562,79703017.11,5.079485886,16.07712,0.123726803,0.421492781,-223.852536,31.38715959,32.7202407,-140.1637,-310.7278,408759908.1,6.660922874,46.6238,-0.585286665,-0.148145495,0.338121887,5.976290801,0.132176878,0.78125,0.313600291,2.516853908,0.135849406,0.78125,0.400780051,8.194274133,0.139847638,0.78125,23.60980888,0.0137952,0.015834168,23.6377,23.57895,4459386.126,2.852306963,0.01869,-0.615744513,-0.075353,0.000136512,0.006831366,1.06E-05,0.78125
-683.5349357,131.846448,115.5805308,200.324,-964.898,3876810570,7.935964894,165.432,1.765251982,1.037466094,-665.0750395,153.3954758,147.3244794,-228.384,-1198.894,3726816311,8.103570319,198.372,0.050263859,-0.277069586,319.6911027,246.2020496,264.1711506,1494.256,-210.816,1302482188,8.365304304,365.146,-0.415007563,0.40015723,1.747553242,44.50405739,0.162570849,0.78125,2.192535195,55.63757917,0.175857249,139.0625,3.185269506,99.14962198,0.207384632,138.28125,0.498879062,8.905871266,9.282002625,30.98375,-29.70625,636428.072,7.972542258,12.50375,-0.120831336,-0.188837444,2.479187813,22.4921921,26.931429,55.23875,-45.22875,4095854.722,8.457731755,36.70625,-0.971036959,0.226658208,-0.109268906,7.730151399,6.6161025,29.19,-32.4975,478077.6876,7.788420854,9.1109375,1.156765723,-0.320029156,0.094019768,4.21046618,0.017893782,0.78125,0.152980233,10.89930098,0.024222414,0.78125,0.09620867,4.352598765,0.010234789,0.78125,-23.41212245,46.07478162,47.67202448,53.78544,-131.2482,21365980.95,6.249315301,75.4896175,-0.953222877,-0.506648561,102.9699603,17.20353639,18.20202846,149.9561,60.50862,87189899.19,5.411528219,26.60036,-0.733590956,0.335501195,-288.5134467,17.37693449,17.98527234,-231.3651,-337.3282,668335432.3,6.147806506,24.1157,-0.390938972,0.104928099,0.374906669,14.60976747,0.147337471,0.78125,0.313734326,4.757281758,0.117119627,0.78125,0.386910586,6.16068368,0.186200306,0.78125,23.64116905,0.016094202,0.015848994,23.6724,23.61099,4471241.064,2.883351738,0.02403,-0.777140703,0.030085057,0.00014717,0.006815723,6.72E-06,1.5625
-739.8985088,109.8023074,91.342986,-267.302,-1049.322,4476038743,7.796651554,134.7185,0.674428934,0.917633078,-644.140236,136.5307107,140.2702686,-262.544,-1086.166,3468439588,8.037322954,190.6555,-0.257641463,-0.144465304,156.1058472,273.0644867,277.194309,908.9,-390.156,791391431.1,8.404154477,394.792,-0.564123415,0.471563295,1.592295974,21.08351951,0.174393658,2.34375,2.175155922,63.70187307,0.241286044,3.125,2.738859961,71.96709475,0.248361038,137.5,-3.246049844,13.64492322,10.0409085,31.7275,-45.01,1573579.971,8.119523865,13.8271875,0.610307812,-0.870984252,-4.2109375,18.97016599,18.92724225,51.68625,-56.7,3020433.672,8.379347624,25.94375,-0.174378587,-0.049009479,2.3198175,9.970979587,7.906891125,39.6725,-37.54625,838316.4769,7.94640009,10.7296875,1.516636881,0.57480365,0.135620864,7.255686196,0.027883871,0.78125,0.177288941,7.70717833,0.041460666,0.78125,0.109287092,5.234901405,0.012632209,0.78125,32.95260731,35.81713496,35.53732896,94.70914,-70.73955,18948649.01,6.018791273,52.616188,-0.530165162,-0.638559051,102.7749873,20.10125869,16.90195135,164.2794,60.21631,87733664.93,5.484349167,24.55424,-0.121081499,0.797126897,-218.3470911,42.12238618,38.1376611,-146.3022,-327.5358,395596206.8,6.785337665,64.601,-0.589688597,-0.739366173,0.362343282,8.563403872,0.153050193,0.78125,0.328393278,4.512203667,0.112187985,0.78125,0.422346978,13.44778372,0.188482149,0.78125,23.67201352,0.01264615,0.013854897,23.69376,23.64303,4482915.071,2.573304335,0.01602,-0.576481058,-0.05673846,0.00011328,0.006062058,9.94E-06,0.78125
-762.8593052,126.819526,145.5157074,-372.466,-1079.212,4784284011,8.000476278,196.237,-0.669789563,0.029782817,-601.4334803,168.3154308,193.8099198,-133.102,-1154.852,3120390193,8.183139514,260.958,-0.567730719,-0.024293774,278.8936928,234.3988764,283.4345724,872.788,-233.508,1061741258,8.347816983,383.324,-0.970437873,-0.027342854,2.304790565,40.37981112,0.237829476,132.8125,3.212527621,54.67806713,0.340875226,132.8125,3.557494155,84.13925125,0.293760834,132.8125,2.673399531,8.646814072,8.03013225,36.40875,-34.02,655240.9018,7.897252451,10.8259375,1.449918678,-0.152651972,4.730568281,11.66694778,11.29277887,48.825,-29.70625,1267831.456,8.115844839,15.6559375,0.132817651,0.382464435,0.027551562,7.28174812,6.94042125,24.01875,-34.97375,424143.8943,7.803023608,9.37125,0.688480475,-0.102755332,0.112492843,3.30568667,0.025572816,0.78125,0.151026481,5.807335388,0.025193519,0.78125,0.105636146,3.456451731,0.0117195,0.78125,22.19171916,27.92960506,22.96925463,86.23209,-54.95469,10179501.84,5.790129459,43.554515,-0.640340704,-0.444700002,110.742321,21.03086673,26.43637403,162.8179,64.01637,101648829.8,5.567497393,35.66207,-1.016986851,0.157062829,-221.4830173,20.91511347,18.7437705,-154.1947,-288.5121,395936913.9,6.280777546,26.8927,-0.064625089,-0.447416409,0.351264773,8.246407983,0.161346383,0.78125,0.32225939,3.719477153,0.120853622,0.78125,0.421510078,8.578538828,0.179508441,0.78125,23.69864803,0.01183786,0.011875626,23.72046,23.66439,4493008.47,2.586368688,0.01335,0.336719691,-0.215547742,0.000122924,0.005876384,7.96E-06,0.78125
